"Brand_Reg","Mean(Labelled energy consumption (kWh/year))"
"Spark Electronics",822.8275862068967
"EMETE",679.3999999999999
"TCL",616.5104166666667
"SONY",582.608108108108
"SAMSUNG ELECTRONICS",569.7441860465115
"SAMSUNG",547.5308641975311
"HISENSE",507.027607361963
"Samsung",498.9634703196346
"Kogan",484.9906103286385
"TAVICE",477
"LG",476.14432989690744
"Sony",469.7647058823529
"PRISM+",451.625
"Palsonic",439
"TOSHIBA",436.54
"METZ",428
"kogan",413.8392857142857
"yokohama",410
"PHILIPS",405.9035087719298
"S VISION",379
"Blaupunkt",378.8333333333333
"Shenzhen Xinchaoda Technology Co., Ltd",378.5
"Signify",378
"CHiQ",373.04255319148933
"VEON",367
"HYUNDAI",365.45454545454555
"EKO",364.46276595744683
"BLAUPUNKT",360.65979381443304
"KOGAN",360.6060606060606
"SHARP",358.9
"QBELL",345.27272727272725
"DGTEC",340.1666666666667
"SONIQ",340
"SMTV",336.4
"COOCAA",327.5
"SYLVOX",322.5454545454546
"JVC",314.43220338983053
"Linsar",305.9999999999999
"coocaa",305
"Veon",304
"SKYWORTH",303.06249999999994
"LOEWE",297.62962962962956
"SMARTTECH",281
"BAUHN",261.9452054794521
"AIWA",250.06382978723406
"FFALCON",248.2068965517241
"Kodak",244.2
"Hubbl",240
"KONKA",236.5
"Polaroid",224.23076923076923
"Q.Bell",224
"Hubbl Glass",220
"AKAI",217.7368421052631
"TECO",207.20000000000002
"SVISION",190.66666666666666
"TELEFUNKEN",189.7058823529412
"TEAC",181.69230769230768
"THOMSON",178
"ENGLAON",163.68749999999994
"Sylvox",163.4545454545454
"AOA",161.6
"CAIXUN",157.66666666666669
"BELGIQUE",151.33333333333337
"Caixun",132.98000000000002
"Gorilla",132
"WALTON",130.66666666666669
"Smarttech",130.5
"FPD",130
"Brooklyn",125
"ILUMA",115.50000000000001
"ZEN TV",109.75
"Avel Innovations",108.66666666666667
"ShareTV",106
"FURRION",102
"MYVI",101.8
"digitech",93.22222222222223
"RCA",90
"Panasonic",89
"Sphere",85.46153846153845
"VDT",78
"Dynalink",76
"Yokohama",76
"Altius",75.5
"WINTAL",72
"Monster",68.75
"LSP TV",60
"Stan Cash",60
"TENET",58
